./main 1000000 50000,0.03
./main 1000000 50000,0.02
./main 10000000 50000,0.06
./main 100000000 50000,0.88
./main 100000000 500000,0.62
./main 100000000 1000000,1.21
./main 100000000 100000,0.64
./main 100000000 10000,2.56
./main 100000000 100000,0.61
./main 10000000 100000,0.04
./main 10000000 1000,0.16
./main 10000000 10000,0.08
./main 10000000 100000,0.04
./main 10000000 1000000,0.13
./main 10000000 10000,0.06
./main 10000000 100000,0.04
./main 100000000 100000,0.63
./main 100000000 1000000,1.28
./main 100000000 100000,0.64
./main 100000000 500000,0.58
./main 100000000 1000000,1.23
./main 100000000 500000,0.62
./main 1000000000 500000,10.61
./main 1000000000 100000,26.47
./main 1000000000 1000000,12.39
./main 1000000000 500000,10.52
./main 100000000 500000,0.56
./main 100000000 500000,0.60
./main 100000000 500000,0.59
./main 100000000 500000,0.61
./main 100000000 1000000,1.26
./main 100000000 1000000,1.24
